Run,C,Penalty,Accuracy,Precision,Recall,F1-Score,CV_F1_Mean,CV_F1_Std
9,100.0,l1,0.71,0.6231884057971014,0.9347826086956522,0.7478260869565218,0.7688408938088014,0.02865489503760718
7,10.0,l1,0.71,0.6307692307692307,0.8913043478260869,0.7387387387387387,0.766955720833975,0.014100189660160318
10,100.0,l2,0.72,0.65,0.8478260869565217,0.7358490566037735,0.8015906048436168,0.03254760655272474
6,1.0,l2,0.68,0.6,0.9130434782608695,0.7241379310344828,0.7818158098555308,0.018423452496982223
8,10.0,l2,0.7,0.6290322580645161,0.8478260869565217,0.7222222222222222,0.8090156542025995,0.013339078846816597
5,1.0,l1,0.66,0.581081081081081,0.9347826086956522,0.7166666666666667,0.7289304195320601,0.024821222171944553
4,0.1,l2,0.53,0.4946236559139785,1.0,0.6618705035971223,0.7063420239890827,0.010935090806016743
2,0.01,l2,0.46,0.46,1.0,0.6301369863013698,0.6841891342636499,0.005309827379017876
1,0.01,l1,0.54,0.0,0.0,0.0,0.0,0.0
3,0.1,l1,0.54,0.0,0.0,0.0,0.0,0.0
